treeID,plot,family,genus,species,genspec,dbh,diameter,srl,rtd,rbi,nroot,toughness,sla,nleaf,pleaf,wsg,vd,d,ks_theo,toughness_specmean,sla_specmean,nleaf_specmean,pleaf_specmean,wsg_specmean,vd_specmean,d_specmean,ks_theo_specmean,tpi,elevation,TPI,Dim1,Dim2,order,clade
3985,SF-MS2,Actinidiaceae,Saurauia,sp2,Saurauia sp2,17.4,0.533,28.830356887937185,0.15549389567147615,1.9484379444796693,17.62621,0.65,126.534197368421,16.26462,1.94847657994401,0.349,5.64408361460572,98.4840684950961,17.6737785364207,0.64961742605342,126.534197368421,16.26462,1.94847657994401,0.348828720213295,5.64408361460572,98.4840684950961,17.6737785364207,-0.300753699130654,1950,-0.300753699130654,-4.9208685231153515,2.105644435740456,Ericales,Superasterids
3738,SF-MS5,Actinidiaceae,Saurauia,sp3,Saurauia sp3,15.9,0.4902,8.35204255319149,0.6351351351351351,1.497913620314562,17.52109,0.7,85.291140625,18.12685,1.49773824445341,0.478,5.92796297588848,108.015655617284,25.8032370578235,0.699751233127366,85.291140625,18.12685,1.49773824445341,0.478213769276314,5.92796297588848,108.015655617284,25.8032370578235,-0.29218638831365,1971,-0.29218638831365,-1.31760829425014,-0.9837062081604165,Ericales,Superasterids
4134,SF-MS1,Adoxaceae,Viburnum,stipitatum,Viburnum stipitatum,19.4,0.9775,4.016494493969585,0.3316521739130435,1.4687729087774521,19.61034,NA,NA,NA,NA,NA,NA,NA,NA,0.797631523128882,78.1915627990431,13.879835,1.40135743649351,0.497855487798714,32.9456376734747,63.2926855958898,17.78065205118,-0.018355948187606,2034,-0.018355948187606,0.8072607089448341,-0.41681010010703684,Dipsacales,Superasterids
3906,SF-US6,Alzateaceae,Alzatea,verticillata,Alzatea verticillata,19.9,0.7421,5.689081261370529,0.4061576354679802,0.8527607329265309,6.83419,NA,NA,NA,NA,NA,NA,NA,NA,1.11196253573538,47.4882342068291,9.66831,0.665355091285611,0.659511828215425,13.3528939328817,89.8499150570168,32.1686289852543,1.20627008072575,1933,1.20627008072575,2.422116456279577,1.8244628498296642,Myrtales,Rosids
3990,SF-US1,Alzateaceae,Alzatea,verticillata,Alzatea verticillata,41.4,0.7585,7.296304536261196,0.303330411919369,1.6315209854386752,9.7921,0.988,50.5998209198209,10.12611,0.595224700922619,0.633,12.48133756048,82.9933133073484,25.2151420327602,1.11196253573538,47.4882342068291,9.66831,0.665355091285611,0.659511828215425,13.3528939328817,89.8499150570168,32.1686289852543,1.1506257202462,2039,1.1506257202462,1.6162072312054612,0.6608917368614052,Myrtales,Rosids
4009,SF-US1,Alzateaceae,Alzatea,verticillata,Alzatea verticillata,24.9,1.1771,3.960073235685752,0.231969111969112,0.8574267446532717,6.55166,1.236,44.3766474938373,9.54073,0.577102229312749,0.692,16.720264343098,80.9341684686869,27.9514930300254,1.11196253573538,47.4882342068291,9.66831,0.665355091285611,0.659511828215425,13.3528939328817,89.8499150570168,32.1686289852543,1.1506257202462,2039,1.1506257202462,1.6162072312054612,0.6608917368614052,Myrtales,Rosids
3936,SF-MS3,Anacardiaceae,Tapirira,guianensis,Tapirira guianensis,23.7,0.5776,7.763737824675324,0.49181636726546907,1.5316377284714726,12.53455,NA,NA,NA,NA,NA,NA,NA,NA,0.695772359550069,68.8588854097268,15.11652,1.03893283808665,0.569434238496147,8.61790870627791,129.248910670829,51.223136141354,0.141729122407738,2027,0.141729122407738,1.346066068870499,-0.6630942581591166,Sapindales,Rosids
3665,SF-LS6,Annonaceae,Annona,andicola,Annona andicola,16.4,0.6348,18.11218070652174,0.17440758293838862,1.0652211665447038,33.13324,NA,NA,NA,NA,NA,NA,NA,NA,0.553593943721309,140.149546670731,24.16984,1.33122981672581,0.429663033048249,6.68563108040193,89.0358097390667,12.0235053791629,-0.347906813870844,2039,-0.347906813870844,-3.826868601726322,1.1498865205735564,Magnoliales,Early agiosperms
3804,SF-US4,Aquifoliaceae,Ilex,teratopis,Ilex teratopis,33,0.642,6.0477724529641455,0.5107887579329102,1.2267723999688904,7.77518,2.253,39.0847656903766,8.93014,0.633452970980744,0.598,16.0910008493182,70.01655471142,13.8511067817786,1.96238044832307,34.7429567582318,8.40125,0.436510583234655,0.742210008083749,26.2492549795828,66.4884684941891,15.6518874545287,0.761426673280571,1913,0.761426673280571,1.975449743662489,-0.02149301650303742,Aquifoliales,Superasterids
3952,SF-MS3,Araliaceae,Schefflera,sp1,Schefflera sp1,14.7,0.7424,6.824104321907599,0.3385469223007064,1.105051044185881,18.308,1.236,67.834904494382,11.16696,0.777550351394964,0.508,13.4278630307578,75.4653917015259,12.7233920064171,NA,NA,NA,NA,NA,NA,NA,NA,0.141729122407738,2027,0.141729122407738,1.346066068870499,-0.6630942581591166,Apiales,Superasterids
